index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
3350,103,7,30,1,2,1,6,2,2,11,13.857142857142858,1
3359,24,4,8,3,0,0,0,0,0,0,5.25,1
3360,50,5,13,0,2,0,0,1,1,2,9.2,1
3366,95,3,22,1,0,4,0,0,0,13,31.0,1
3371,16,3,6,1,0,0,0,0,1,2,4.666666666666667,1
3372,53,7,18,0,0,1,0,1,3,6,6.714285714285714,1
3373,176,24,41,0,0,6,0,1,4,6,6.375,1
3379,37,5,18,6,0,0,0,1,1,2,6.6,1
3384,72,10,23,0,2,0,0,1,3,9,6.3,1
3387,42,1,14,3,0,0,0,0,0,2,42.0,1
3390,27,6,8,0,1,1,0,0,0,0,3.6666666666666665,0
3392,45,5,11,1,3,3,0,0,2,0,8.2,1
3394,111,13,31,0,0,4,0,2,3,6,7.615384615384615,1
3397,62,5,16,1,3,6,0,0,2,2,11.6,1
3401,59,5,13,1,1,6,0,0,2,0,11.0,1
3403,60,6,16,1,0,1,0,2,2,5,9.166666666666666,1
3404,41,1,3,0,0,0,0,0,0,0,41.0,0
3405,50,2,12,0,0,0,0,2,0,0,24.5,1
3407,21,3,9,1,2,0,0,1,1,2,6.333333333333333,1
3408,222,15,70,0,3,0,20,3,3,28,13.866666666666667,1
3413,110,14,30,1,2,3,0,1,2,4,6.928571428571429,1
3416,56,9,16,3,0,0,2,1,3,1,5.333333333333333,1
3417,52,5,16,4,0,0,0,1,1,4,9.6,1
3419,66,3,20,2,2,1,0,1,1,10,21.333333333333332,1
3420,66,7,14,0,0,5,0,1,3,0,8.571428571428571,1
3427,133,7,37,1,2,3,6,2,2,17,18.142857142857142,1
3428,127,16,35,0,0,3,0,2,3,10,7.0,1
3430,122,16,31,0,0,3,0,2,3,6,6.6875,1
3432,37,3,13,0,2,0,0,0,0,5,11.666666666666666,1
3437,44,7,11,0,1,0,0,2,2,1,5.428571428571429,1
3438,62,5,16,1,1,6,0,0,2,3,11.6,1
3441,98,11,20,0,0,4,0,1,2,4,8.0,1
3450,68,6,16,0,2,1,0,1,2,4,10.5,1
3452,142,3,44,0,2,4,10,1,1,25,46.666666666666664,1
3453,186,23,43,3,2,6,2,2,3,5,7.130434782608695,1
3454,25,6,6,0,0,1,0,0,0,0,3.3333333333333335,0
3455,21,3,7,0,1,0,0,1,1,2,6.333333333333333,1
3460,32,6,10,0,0,1,0,0,0,0,4.5,0
3461,88,10,22,1,2,2,0,0,1,3,7.9,1
3462,63,6,19,3,0,1,2,2,2,5,9.666666666666666,1
3463,37,1,13,0,0,0,0,0,0,0,37.0,1
3465,82,5,22,3,2,1,0,2,2,9,15.6,1
3466,126,15,30,0,2,4,0,2,3,6,7.466666666666667,1
3467,59,7,16,0,2,0,0,1,1,3,7.571428571428571,1
3472,33,6,10,1,0,0,0,0,1,3,4.666666666666667,1
3473,34,4,15,0,0,0,0,1,1,4,7.75,1
3476,19,1,15,0,0,0,0,0,0,0,19.0,1
3477,135,18,36,0,2,3,0,2,3,6,6.555555555555555,1
3478,210,14,67,0,3,0,20,2,2,28,14.071428571428571,1
3480,102,14,26,1,0,0,0,2,2,6,6.357142857142857,1
3482,35,6,10,1,2,0,0,1,1,1,5.0,1
3484,63,6,16,1,2,0,0,1,1,3,9.666666666666666,1
3485,27,2,8,0,0,0,0,1,0,0,13.0,1
3487,129,5,37,0,0,3,6,2,2,22,25.0,1
3489,31,3,7,0,0,1,0,1,1,3,9.666666666666666,1
3491,223,15,73,4,1,0,20,3,3,30,13.933333333333334,1
3494,98,12,29,4,0,2,0,1,2,4,7.25,1
3496,105,12,25,0,2,2,0,1,2,4,7.833333333333333,1
