index,num_chars,num_words,num_special_chars,num_ticks,num_dashes,num_commas,num_pipes,num_equals,num_keywords,num_parens,avg_word_len,label
2390,22,3,8,0,3,0,0,1,1,2,6.666666666666667,1
2392,33,5,8,0,0,0,0,2,2,1,5.8,1
2394,220,15,77,0,1,1,20,3,3,32,13.733333333333333,1
2398,46,5,12,1,1,3,0,0,2,2,8.4,1
2399,65,5,15,0,3,7,0,0,2,0,12.2,1
2404,30,5,6,0,0,1,0,0,0,0,5.2,0
2406,74,5,16,0,1,9,0,0,2,0,14.0,1
2409,101,12,28,1,2,2,0,1,2,7,7.5,1
2411,64,8,29,0,0,0,0,1,2,14,7.125,1
2415,93,4,21,1,0,5,0,1,1,11,22.5,1
2416,143,15,32,3,0,0,2,2,2,7,8.6,1
2417,118,18,35,8,0,0,4,1,4,4,5.611111111111111,1
2420,200,15,64,0,0,0,0,2,2,38,12.4,1
2426,11,2,2,0,0,1,0,0,0,0,5.0,0
2429,134,7,38,0,0,3,6,1,3,18,18.285714285714285,1
2431,28,5,9,0,2,0,0,0,2,1,4.8,1
2432,30,5,7,0,0,1,0,0,0,0,5.2,0
2435,22,3,8,1,1,0,0,1,1,3,6.666666666666667,1
2436,34,3,14,1,0,1,0,1,1,7,10.666666666666666,1
2440,9,2,2,0,0,1,0,0,0,0,4.0,0
2444,217,22,60,0,0,6,0,2,9,22,8.909090909090908,1
2449,30,1,4,0,0,0,0,0,0,0,30.0,0
2452,134,18,35,0,2,3,0,2,3,6,6.5,1
2453,31,5,7,0,0,1,0,0,0,0,5.4,0
2458,40,4,11,0,2,0,0,1,1,3,9.25,1
2462,112,8,32,0,2,1,6,1,2,12,13.125,1
2463,66,3,19,3,2,1,0,1,1,9,21.333333333333332,1
2464,53,5,11,0,1,5,0,0,2,0,9.8,1
2465,205,17,65,0,0,0,0,1,3,34,11.117647058823529,1
2467,22,3,3,0,0,0,0,0,0,0,6.666666666666667,0
2471,25,1,10,1,0,2,0,1,0,4,25.0,1
2474,117,16,30,0,0,2,0,1,4,4,6.375,1
2475,33,5,13,0,0,0,0,1,2,8,5.8,1
2478,152,20,31,0,0,6,0,1,2,4,6.65,1
2481,145,13,39,4,0,5,0,2,1,14,10.23076923076923,1
2486,89,2,19,0,0,0,0,0,0,4,44.0,1
2488,26,5,4,0,0,0,0,0,0,0,4.4,0
2489,251,18,88,4,0,0,26,3,4,38,13.0,1
2492,202,20,49,0,0,6,0,1,8,20,9.15,1
2494,55,7,14,1,2,0,0,1,1,2,7.0,1
2495,47,5,12,1,0,4,0,0,2,1,8.6,1
2496,49,5,12,0,2,0,0,1,1,2,9.0,1
2498,20,3,5,0,0,2,0,0,0,0,6.0,0
2501,12,3,3,0,0,1,0,0,0,0,3.3333333333333335,0
2503,90,10,24,1,2,2,0,0,1,4,8.1,1
2504,22,5,4,0,0,0,0,0,0,0,3.6,0
2507,35,5,16,6,0,0,0,1,1,0,6.2,1
2508,15,4,6,0,2,0,0,0,1,0,3.0,1
2511,59,2,11,2,0,0,0,1,0,2,29.0,1
2512,72,5,18,0,3,8,0,0,2,2,13.6,1
2515,50,7,11,0,1,1,0,1,3,0,6.285714285714286,1
2516,33,1,4,0,2,0,0,0,0,0,33.0,0
2519,115,15,29,1,0,0,0,2,2,7,6.733333333333333,1
2524,159,6,45,1,0,4,10,1,1,23,25.666666666666668,1
2531,24,3,10,1,3,0,0,1,1,3,7.333333333333333,1
2533,78,4,19,2,2,1,0,1,1,8,18.75,1
2534,78,8,23,4,0,0,4,1,2,4,8.875,1
2535,141,3,40,1,0,4,10,1,1,22,46.333333333333336,1
2548,20,3,8,0,2,0,0,1,1,3,6.0,1
2552,94,4,21,1,0,6,0,1,1,10,22.75,1
2554,16,1,4,0,0,0,0,0,0,0,16.0,1
2556,175,13,43,1,2,6,0,2,3,18,12.538461538461538,1
2563,56,7,17,0,2,1,0,2,2,6,7.142857142857143,1
2567,43,5,13,1,3,2,0,0,2,3,7.8,1
2569,156,20,35,0,2,6,0,1,2,5,6.85,1
2572,102,12,28,0,2,3,0,0,1,4,7.583333333333333,1
2575,31,5,9,0,3,0,0,0,2,0,5.4,1
2577,25,6,7,0,1,1,0,0,0,0,3.3333333333333335,0
2579,62,6,18,2,0,1,0,2,2,6,9.5,1
2580,4,1,2,0,0,0,2,0,0,0,4.0,1
2581,15,4,5,0,0,1,0,0,0,0,3.0,0
2585,120,16,37,0,0,3,0,2,3,6,6.5625,1
2587,17,4,5,0,0,0,0,0,0,0,3.5,0
2588,33,4,17,0,0,0,0,1,1,6,7.5,1
2589,137,15,34,3,2,2,2,2,3,5,8.2,1
2592,10,2,2,0,0,1,0,0,0,0,4.5,0
2598,56,7,17,4,0,0,0,0,2,4,7.142857142857143,1
2600,106,8,25,3,1,9,2,1,3,1,12.375,1
2603,112,16,30,0,0,0,0,2,2,8,6.0625,1
2609,62,5,23,0,0,1,0,2,2,10,11.6,1
2619,14,3,4,0,0,2,0,0,0,0,4.0,0
2621,24,4,5,0,0,2,0,0,0,0,5.25,0
2622,94,13,25,0,2,2,0,1,1,4,6.3076923076923075,1
2631,200,15,64,4,0,0,0,2,2,34,12.4,1
2633,22,1,3,0,0,0,0,0,0,0,22.0,0
2634,233,17,79,4,0,0,20,2,4,36,12.764705882352942,1
2641,77,8,21,4,0,1,0,2,3,6,8.75,1
2648,72,10,28,0,0,0,0,0,4,14,6.3,1
